4, candidate_callback, candidate_callback_mipstart, usercut_callback, usercut_callback_mipstart
inst_nnodes500_seed4149311_tl120_id1, 20.000000, 21.000000, 14.000000, 12.000000
inst_nnodes500_seed4149311_tl120_id2, 43.000000, 35.000000, 31.000000, 34.000000
inst_nnodes500_seed4149311_tl120_id3, 52.000000, 30.000000, 30.000000, 31.000000
inst_nnodes500_seed4149311_tl120_id4, 22.000000, 36.000000, 19.000000, 20.000000
inst_nnodes500_seed4149311_tl120_id5, 41.000000, 28.000000, 29.000000, 22.000000
inst_nnodes500_seed4149311_tl120_id6, 29.000000, 42.000000, 19.000000, 25.000000
inst_nnodes500_seed4149311_tl120_id7, 61.000000, 36.000000, 39.000000, 42.000000
inst_nnodes500_seed4149311_tl120_id8, 33.000000, 54.000000, 51.000000, 11.000000
inst_nnodes500_seed4149311_tl120_id9, 40.000000, 51.000000, 34.000000, 35.000000
inst_nnodes500_seed4149311_tl120_id10, 120.000000, 120.000000, 65.000000, 110.000000
inst_nnodes500_seed4149311_tl120_id11, 15.000000, 13.000000, 10.000000, 7.000000
inst_nnodes500_seed4149311_tl120_id12, 20.000000, 76.000000, 20.000000, 22.000000
inst_nnodes500_seed4149311_tl120_id13, 40.000000, 88.000000, 25.000000, 41.000000
inst_nnodes500_seed4149311_tl120_id14, 29.000000, 55.000000, 16.000000, 15.000000
inst_nnodes500_seed4149311_tl120_id15, 30.000000, 37.000000, 28.000000, 16.000000
inst_nnodes500_seed4149311_tl120_id16, 43.000000, 52.000000, 23.000000, 20.000000
inst_nnodes500_seed4149311_tl120_id17, 33.000000, 23.000000, 12.000000, 10.000000
inst_nnodes500_seed4149311_tl120_id18, 95.000000, 57.000000, 62.000000, 55.000000
inst_nnodes500_seed4149311_tl120_id19, 44.000000, 49.000000, 35.000000, 48.000000
inst_nnodes500_seed4149311_tl120_id20, 46.000000, 69.000000, 51.000000, 53.000000
