3, benders_patch_mipstart, candidate_callback_mipstart, usercut_callback_mipstart
inst_nnodes500_seed4149311_tl120_id1, 34.000000, 22.000000, 12.000000
inst_nnodes500_seed4149311_tl120_id2, 39.000000, 34.000000, 34.000000
inst_nnodes500_seed4149311_tl120_id3, 58.000000, 30.000000, 31.000000
inst_nnodes500_seed4149311_tl120_id4, 62.000000, 36.000000, 20.000000
inst_nnodes500_seed4149311_tl120_id5, 72.000000, 27.000000, 21.000000
inst_nnodes500_seed4149311_tl120_id6, 37.000000, 43.000000, 24.000000
inst_nnodes500_seed4149311_tl120_id7, 82.000000, 36.000000, 39.000000
inst_nnodes500_seed4149311_tl120_id8, 52.000000, 51.000000, 12.000000
inst_nnodes500_seed4149311_tl120_id9, 93.000000, 49.000000, 36.000000
inst_nnodes500_seed4149311_tl120_id10, 240.000000, 120.000000, 115.000000
inst_nnodes500_seed4149311_tl120_id11, 27.000000, 13.000000, 7.000000
inst_nnodes500_seed4149311_tl120_id12, 43.000000, 79.000000, 22.000000
inst_nnodes500_seed4149311_tl120_id13, 67.000000, 89.000000, 40.000000
inst_nnodes500_seed4149311_tl120_id14, 113.000000, 53.000000, 15.000000
inst_nnodes500_seed4149311_tl120_id15, 65.000000, 35.000000, 16.000000
inst_nnodes500_seed4149311_tl120_id16, 57.000000, 52.000000, 20.000000
inst_nnodes500_seed4149311_tl120_id17, 35.000000, 23.000000, 10.000000
inst_nnodes500_seed4149311_tl120_id18, 240.000000, 57.000000, 57.000000
inst_nnodes500_seed4149311_tl120_id19, 81.000000, 50.000000, 47.000000
inst_nnodes500_seed4149311_tl120_id20, 120.000000, 68.000000, 54.000000
