5, rndm_sawtoo_tabu, nnrn_square_tabu, nnfn_triang_tabu, nnbs_square_tabu, nnbs
inst_nnodes2000_seed4149311_tl120_id1, 1249781.495434, 341282.473246, 343364.134666, 341599.193894, 393739.765815
inst_nnodes2000_seed4149311_tl120_id2, 1268295.424388, 344525.898248, 342982.456107, 343122.811948, 392959.430430
inst_nnodes2000_seed4149311_tl120_id3, 1686040.054265, 340619.086566, 340937.289994, 340743.422284, 390809.390853
inst_nnodes2000_seed4149311_tl120_id4, 1659556.161602, 341423.769648, 341282.305358, 343176.626827, 394415.550453
inst_nnodes2000_seed4149311_tl120_id5, 1636564.514858, 340977.850810, 339125.032561, 338156.653753, 393631.072389
inst_nnodes2000_seed4149311_tl120_id6, 1893530.283125, 337516.004282, 340148.019505, 339267.102991, 399121.821459
inst_nnodes2000_seed4149311_tl120_id7, 1694291.360624, 342489.469580, 342393.937328, 341434.104715, 393644.313831
inst_nnodes2000_seed4149311_tl120_id8, 1684385.168487, 341476.211451, 338410.375814, 337743.473788, 389247.135399
inst_nnodes2000_seed4149311_tl120_id9, 1247768.859315, 339096.428612, 340214.353145, 339241.309512, 386673.309124
inst_nnodes2000_seed4149311_tl120_id10, 1236969.095593, 345367.587897, 345905.437899, 346151.388726, 396058.474420
inst_nnodes2000_seed4149311_tl120_id11, 1231559.448351, 343525.998420, 342899.057794, 341975.191832, 392345.903670
inst_nnodes2000_seed4149311_tl120_id12, 1233539.362734, 340792.530169, 343416.546281, 343482.757415, 394546.730975
inst_nnodes2000_seed4149311_tl120_id13, 1228217.072100, 341154.349484, 343044.234802, 340442.033091, 390357.085127
inst_nnodes2000_seed4149311_tl120_id14, 1244403.729070, 341262.865042, 342016.463631, 339819.621429, 391402.415555
inst_nnodes2000_seed4149311_tl120_id15, 1255406.223377, 336797.944580, 337112.658281, 337966.821121, 389389.537509
inst_nnodes2000_seed4149311_tl120_id16, 1268526.259570, 337482.466979, 339439.875058, 338086.132579, 388200.492771
inst_nnodes2000_seed4149311_tl120_id17, 1205271.588512, 340108.560794, 340713.707815, 337993.384654, 394382.704891
inst_nnodes2000_seed4149311_tl120_id18, 1185166.613556, 342359.109423, 343096.574564, 339882.237048, 393342.669304
inst_nnodes2000_seed4149311_tl120_id19, 1234973.798351, 342026.842617, 341282.642333, 341619.007211, 391229.951933
inst_nnodes2000_seed4149311_tl120_id20, 1196274.326477, 340479.351845, 339918.068455, 339100.913562, 387965.358856
