7, nnbs, nnbs_2opt, nnbs_tabu, nnbs_triang_tabu, nnbs_square_tabu, nnbs_sawtoo_tabu, nnbs_vns
inst_nnodes2000_seed4149311_tl120_id1, 393739.765815, 342030.940156, 342886.746650, 342091.074110, 341519.106440, 342489.134629, 341971.549403
inst_nnodes2000_seed4149311_tl120_id2, 390949.597221, 341185.221319, 341795.468967, 340018.408718, 340388.982972, 340109.594389, 341185.221319
inst_nnodes2000_seed4149311_tl120_id3, 394544.092421, 341713.608774, 342205.326070, 340460.159603, 341121.513217, 342399.485515, 341713.608774
inst_nnodes2000_seed4149311_tl120_id4, 390346.261728, 342314.517167, 340224.163444, 339497.002986, 338804.915787, 338717.624896, 341840.683769
inst_nnodes2000_seed4149311_tl120_id5, 391438.896703, 340410.673664, 339938.412408, 338780.366039, 339081.342545, 340640.965609, 340370.924223
inst_nnodes2000_seed4149311_tl120_id6, 396407.270919, 342199.946549, 344110.807229, 341012.703854, 340487.371129, 340835.096840, 342199.946549
inst_nnodes2000_seed4149311_tl120_id7, 391770.519162, 341149.432917, 340758.680093, 339921.708473, 339625.862873, 340437.243492, 341149.432917
inst_nnodes2000_seed4149311_tl120_id8, 385498.563509, 343954.202528, 344790.018309, 342619.894966, 343916.243559, 343562.727450, 342940.825172
inst_nnodes2000_seed4149311_tl120_id9, 389859.738034, 342638.171023, 343635.078347, 341518.360555, 341851.898473, 342194.027841, 342638.171023
inst_nnodes2000_seed4149311_tl120_id10, 392390.376485, 344189.058925, 345430.951606, 343533.572880, 343413.426390, 343601.345953, 343996.527008
inst_nnodes2000_seed4149311_tl120_id11, 387925.647054, 338449.467281, 339434.103197, 338198.510707, 337807.115586, 338049.820048, 338280.459598
inst_nnodes2000_seed4149311_tl120_id12, 392136.492813, 342952.634033, 343009.666677, 339460.157228, 342002.193428, 342326.666570, 342818.668177
inst_nnodes2000_seed4149311_tl120_id13, 396183.701580, 345810.270412, 346763.885259, 344471.896036, 343940.674748, 344249.525139, 345562.155039
inst_nnodes2000_seed4149311_tl120_id14, 391721.784594, 341903.289148, 340198.666360, 337302.251371, 339247.597431, 338763.817028, 341399.726833
inst_nnodes2000_seed4149311_tl120_id15, 394523.082552, 345111.715227, 343095.763379, 341586.007202, 343279.454332, 343337.545438, 345111.715227
inst_nnodes2000_seed4149311_tl120_id16, 390719.102231, 343610.849850, 342803.841750, 342298.482516, 341909.298513, 341277.825639, 343426.917028
inst_nnodes2000_seed4149311_tl120_id17, 392209.860099, 346011.451879, 345462.124359, 344377.038612, 345002.818645, 344578.447312, 345910.196573
inst_nnodes2000_seed4149311_tl120_id18, 392665.848617, 339923.896806, 341360.827103, 340423.639932, 339484.217167, 340466.340036, 339784.980154
inst_nnodes2000_seed4149311_tl120_id19, 395001.722590, 343391.683671, 343557.530528, 341989.153633, 341816.909781, 342559.686915, 342784.401903
inst_nnodes2000_seed4149311_tl120_id20, 394206.303816, 342096.693996, 342814.156084, 340367.158408, 340761.402771, 340030.369418, 342096.693996
