7, nnfn, nnfn_2opt, nnfn_tabu, nnfn_triang_tabu, nnfn_square_tabu, nnfn_sawtoo_tabu, nnfn_vns
inst_nnodes2000_seed4149311_tl120_id1, 419348.121024, 345643.589597, 346747.921447, 343364.134666, 344102.349356, 343516.577542, 344635.996040
inst_nnodes2000_seed4149311_tl120_id2, 403234.069857, 340387.701480, 339022.984283, 338112.878160, 338203.717013, 338969.691484, 340387.701480
inst_nnodes2000_seed4149311_tl120_id3, 410487.861191, 341627.853310, 342988.302401, 339626.077871, 339972.262568, 339498.493829, 341627.853310
inst_nnodes2000_seed4149311_tl120_id4, 418526.453009, 338458.197915, 337659.311405, 334484.199892, 335435.563615, 336170.676588, 338022.000115
inst_nnodes2000_seed4149311_tl120_id5, 409636.449561, 344128.427475, 343954.561182, 341534.284923, 343304.733592, 342809.884191, 343743.207222
inst_nnodes2000_seed4149311_tl120_id6, 409540.032332, 341525.909461, 342640.855272, 338921.859304, 340377.073472, 340636.656283, 341525.909461
inst_nnodes2000_seed4149311_tl120_id7, 418006.387735, 343551.141869, 344888.458975, 343082.442202, 342274.692033, 344045.955652, 343116.255377
inst_nnodes2000_seed4149311_tl120_id8, 411144.958548, 338435.452532, 340522.827028, 337238.955732, 336808.691755, 338577.074608, 338030.572521
inst_nnodes2000_seed4149311_tl120_id9, 399058.073586, 344831.792351, 344638.773047, 342310.876048, 343053.154532, 343630.348957, 344831.792351
inst_nnodes2000_seed4149311_tl120_id10, 405848.488000, 338401.196475, 339669.329315, 337747.679817, 337064.253060, 336363.501206, 338079.889227
inst_nnodes2000_seed4149311_tl120_id11, 405754.220879, 341938.114033, 343851.044204, 342784.056198, 341246.096541, 342938.302286, 341938.114033
inst_nnodes2000_seed4149311_tl120_id12, 394890.521227, 341878.013628, 342838.959906, 341226.823675, 341034.081497, 341505.668657, 341766.432283
inst_nnodes2000_seed4149311_tl120_id13, 414348.540502, 344376.070840, 344006.812980, 342456.559386, 343665.141063, 343504.892440, 344376.070840
inst_nnodes2000_seed4149311_tl120_id14, 401928.329565, 340058.000937, 341941.117106, 339618.301695, 339189.238380, 339390.221650, 338313.795446
inst_nnodes2000_seed4149311_tl120_id15, 396980.454375, 340161.971192, 341410.066089, 339971.388541, 339748.559615, 339888.607239, 340157.599507
inst_nnodes2000_seed4149311_tl120_id16, 406401.085150, 343577.779265, 343790.061349, 341423.842537, 342227.728878, 341174.473615, 343577.779265
inst_nnodes2000_seed4149311_tl120_id17, 402506.198767, 341630.243195, 342237.077649, 339242.316298, 339680.389479, 337517.295022, 341630.243195
inst_nnodes2000_seed4149311_tl120_id18, 403328.890233, 338193.369725, 338307.572553, 336031.565541, 337220.364577, 336818.813730, 338193.369725
inst_nnodes2000_seed4149311_tl120_id19, 408665.566934, 340631.193414, 344277.224227, 341930.005568, 341469.565495, 341099.212645, 340631.193414
inst_nnodes2000_seed4149311_tl120_id20, 400306.283998, 343678.792951, 342544.670160, 341462.906153, 342416.029063, 342989.523919, 343678.792951
