7, nnrn, nnrn_2opt, nnrn_tabu, nnrn_triang_tabu, nnrn_square_tabu, nnrn_sawtoo_tabu, nnrn_vns
inst_nnodes2000_seed4149311_tl120_id1, 411678.635460, 345080.158632, 343155.197775, 341650.171014, 343033.219135, 341814.348946, 343925.958975
inst_nnodes2000_seed4149311_tl120_id2, 399576.628663, 343421.573628, 341334.028314, 338759.775949, 339330.180862, 340003.523255, 341310.165934
inst_nnodes2000_seed4149311_tl120_id3, 403572.834970, 342664.688717, 338878.451427, 339757.050175, 336589.407696, 339143.182635, 338240.779358
inst_nnodes2000_seed4149311_tl120_id4, 406105.380061, 341773.400889, 341734.269218, 339552.122972, 337646.455620, 336882.686647, 340655.186531
inst_nnodes2000_seed4149311_tl120_id5, 402097.233658, 342002.307649, 343621.920025, 339450.691422, 340697.619019, 340147.860366, 343197.493825
inst_nnodes2000_seed4149311_tl120_id6, 396636.297079, 340254.219003, 342194.349743, 339970.241944, 336086.350862, 337810.046131, 339154.009515
inst_nnodes2000_seed4149311_tl120_id7, 413182.978615, 345788.256465, 342921.913461, 345001.315914, 340524.680722, 344073.424638, 343707.530152
inst_nnodes2000_seed4149311_tl120_id8, 420221.568123, 344068.341491, 340484.268097, 343283.928564, 338510.561887, 341568.695344, 341520.529577
inst_nnodes2000_seed4149311_tl120_id9, 407556.159166, 342021.448767, 343350.614410, 340276.003184, 340312.900318, 340670.203392, 341605.159904
inst_nnodes2000_seed4149311_tl120_id10, 399214.467279, 346120.591468, 340697.344747, 337962.599164, 340970.520756, 340407.686971, 344136.818940
inst_nnodes2000_seed4149311_tl120_id11, 397515.110243, 345039.192629, 341502.711795, 340086.919532, 339326.035560, 341350.667960, 343917.600828
inst_nnodes2000_seed4149311_tl120_id12, 403199.569569, 341549.760331, 340779.175330, 342203.818732, 339968.693306, 338032.881789, 340303.307460
inst_nnodes2000_seed4149311_tl120_id13, 401852.416958, 341882.090700, 340804.950091, 336409.394706, 336858.684767, 338156.117871, 339241.708434
inst_nnodes2000_seed4149311_tl120_id14, 405424.099870, 343979.713585, 345265.375713, 342332.007312, 343654.789920, 344255.002366, 343365.968178
inst_nnodes2000_seed4149311_tl120_id15, 412137.863478, 345757.629131, 346779.681241, 344526.154870, 343295.712178, 345271.157183, 346180.885096
inst_nnodes2000_seed4149311_tl120_id16, 409850.828353, 343206.463177, 343450.774141, 343290.357655, 341225.057152, 343649.590840, 342803.406750
inst_nnodes2000_seed4149311_tl120_id17, 407474.018714, 342434.224761, 341486.177459, 340150.329838, 340820.726356, 338259.498354, 340286.336450
inst_nnodes2000_seed4149311_tl120_id18, 406226.959828, 346998.291369, 347008.452403, 344553.713060, 345348.708805, 345088.665693, 345553.801341
inst_nnodes2000_seed4149311_tl120_id19, 391147.285765, 340026.200831, 342319.431594, 337903.467317, 335643.822216, 337421.657608, 337873.655733
inst_nnodes2000_seed4149311_tl120_id20, 406818.487259, 338983.005652, 340396.597508, 341442.072043, 338214.588261, 340369.413708, 340835.658602
