7, rndm, rndm_2opt, rndm_tabu, rndm_triang_tabu, rndm_square_tabu, rndm_sawtoo_tabu, rndm_vns
inst_nnodes2000_seed4149311_tl120_id1, 10577256.238714, 363258.551581, 353919.782589, 354328.964862, 357703.974381, 352660.933669, 357339.511397
inst_nnodes2000_seed4149311_tl120_id2, 10462634.435602, 354440.080521, 348222.419295, 350763.568200, 351482.374168, 345820.369163, 357215.494334
inst_nnodes2000_seed4149311_tl120_id3, 10290815.388674, 362553.657739, 352989.962879, 352192.124338, 352759.488538, 353912.630507, 352910.630032
inst_nnodes2000_seed4149311_tl120_id4, 10471926.007460, 359289.660305, 350948.376573, 353122.977851, 351879.234462, 350275.100868, 353631.587461
inst_nnodes2000_seed4149311_tl120_id5, 10247986.822388, 362807.375028, 352916.328335, 354730.820776, 358338.450788, 353579.061289, 358830.741878
inst_nnodes2000_seed4149311_tl120_id6, 10391004.786071, 358965.406200, 354406.998326, 350974.516357, 354767.885120, 351372.871450, 354764.918209
inst_nnodes2000_seed4149311_tl120_id7, 10421565.149284, 359010.239318, 355496.751949, 357751.875673, 354702.459223, 352984.851257, 359699.546806
inst_nnodes2000_seed4149311_tl120_id8, 10335983.497480, 360036.064499, 354863.226752, 354002.224159, 351939.461122, 355763.260469, 358820.448751
inst_nnodes2000_seed4149311_tl120_id9, 10427673.221330, 362819.539996, 356752.279618, 355587.001408, 358265.061604, 357841.596174, 359831.786883
inst_nnodes2000_seed4149311_tl120_id10, 10558560.771287, 356687.009939, 349146.867220, 352552.817093, 349730.051017, 351072.273856, 349878.114434
inst_nnodes2000_seed4149311_tl120_id11, 10448972.993532, 360089.052023, 352955.716809, 354191.778383, 352173.307630, 355218.268223, 356635.439533
inst_nnodes2000_seed4149311_tl120_id12, 10528215.299373, 369449.693357, 359296.036666, 354709.310823, 354394.478846, 355910.128498, 359652.401832
inst_nnodes2000_seed4149311_tl120_id13, 10669706.693918, 367393.923606, 356243.847656, 356217.323548, 355925.528636, 356595.833452, 362251.556408
inst_nnodes2000_seed4149311_tl120_id14, 10567662.836892, 357619.450455, 353481.252994, 352763.370226, 352093.810282, 350460.537285, 352856.145136
inst_nnodes2000_seed4149311_tl120_id15, 10589119.976298, 356077.555879, 351286.590603, 351439.435831, 348622.994225, 351115.624986, 354575.754079
inst_nnodes2000_seed4149311_tl120_id16, 10422211.200491, 360665.016173, 350835.481083, 351516.813212, 349209.539146, 355857.515753, 360290.761125
inst_nnodes2000_seed4149311_tl120_id17, 10569229.274095, 359077.679071, 350038.168464, 345628.482225, 348097.139892, 348489.128442, 348187.162269
inst_nnodes2000_seed4149311_tl120_id18, 10296139.145095, 359328.199209, 351242.502123, 352437.571271, 351994.474636, 347905.002625, 355794.185873
inst_nnodes2000_seed4149311_tl120_id19, 10417468.545387, 363142.655332, 352937.103429, 354071.573304, 350335.257877, 353014.454476, 355560.572614
inst_nnodes2000_seed4149311_tl120_id20, 10394727.893745, 356616.072657, 348681.059074, 350352.789140, 350321.436992, 350781.833767, 352766.222310
