7, rndm, rndm_2opt, rndm_tabu, rndm_triang_tabu, rndm_square_tabu, rndm_sawtoo_tabu, rndm_vns
inst_nnodes2000_seed4149311_tl120_id1, 10577256.238714, 477952.150167, 741163.072081, 1179811.086982, 1169644.403481, 1182546.083519, 416019.989555
inst_nnodes2000_seed4149311_tl120_id2, 10432088.269389, 413310.978879, 752369.011225, 1148004.227953, 1173642.697712, 1182411.401504, 419871.303297
inst_nnodes2000_seed4149311_tl120_id3, 10580987.477732, 425372.291104, 744318.398400, 1144539.125752, 1159027.217322, 1206161.623447, 422445.310637
inst_nnodes2000_seed4149311_tl120_id4, 10414203.533621, 418258.925212, 747939.202937, 1150217.325727, 1174282.840350, 1187587.137920, 419682.569845
inst_nnodes2000_seed4149311_tl120_id5, 10403540.487863, 414319.629465, 766188.695849, 1226365.577785, 1233952.535204, 1219552.467751, 428452.639526
inst_nnodes2000_seed4149311_tl120_id6, 10538551.173336, 416861.719116, 801289.295766, 1209761.720428, 1179367.130420, 1181554.145273, 412430.268062
inst_nnodes2000_seed4149311_tl120_id7, 10393328.691458, 415394.375302, 751495.515241, 1165731.032557, 1154635.888859, 1219004.996112, 416243.886179
inst_nnodes2000_seed4149311_tl120_id8, 10330242.106133, 411751.397454, 749274.248919, 1146585.094511, 1175722.583556, 1214839.444375, 418476.626668
inst_nnodes2000_seed4149311_tl120_id9, 10656612.850932, 422454.181097, 754916.581677, 1146327.606200, 1186152.714304, 1193437.075696, 423288.480875
inst_nnodes2000_seed4149311_tl120_id10, 10254696.600454, 414846.139272, 743053.490172, 1121339.928233, 1157119.275088, 1195336.179403, 417425.696455
inst_nnodes2000_seed4149311_tl120_id11, 10501081.101943, 410257.021507, 735654.201643, 1160517.637998, 1178152.615035, 1210216.495457, 412604.776588
inst_nnodes2000_seed4149311_tl120_id12, 10431440.759889, 419815.084899, 756323.389069, 1152517.189308, 1177875.399008, 1212486.877007, 425447.146195
inst_nnodes2000_seed4149311_tl120_id13, 10305706.391257, 417917.697524, 740206.011751, 1142929.392259, 1154693.685340, 1195990.689080, 416809.719572
inst_nnodes2000_seed4149311_tl120_id14, 10259735.820256, 419416.211561, 751106.045989, 1137742.522291, 1157064.668306, 1195026.246516, 413312.188543
inst_nnodes2000_seed4149311_tl120_id15, 10403095.342509, 422787.139133, 752167.644056, 1119514.524086, 1176230.713935, 1227979.720434, 422564.157893
inst_nnodes2000_seed4149311_tl120_id16, 10580602.538696, 413028.486758, 745567.143276, 1191179.404923, 1203565.803034, 1218851.176843, 413420.104314
inst_nnodes2000_seed4149311_tl120_id17, 10372555.676973, 418702.001238, 758890.056979, 1156269.903879, 1165521.395279, 1212530.177625, 422958.217840
inst_nnodes2000_seed4149311_tl120_id18, 10527764.384917, 419722.482500, 736089.333300, 1140294.419182, 1163258.183260, 1201742.663590, 414211.376022
inst_nnodes2000_seed4149311_tl120_id19, 10621863.302056, 408913.386423, 751788.785902, 1134900.215968, 1174015.455317, 1179702.956365, 411470.876681
inst_nnodes2000_seed4149311_tl120_id20, 10438570.473707, 414983.372491, 738214.475013, 1141003.301631, 1168961.292566, 1196738.453749, 416991.330810
