4, hard_fixing_60, hard_fixing_70, hard_fixing_80, hard_fixing_90
inst_nnodes1000_seed4149311_tl120_id1, 240390.628875, 240408.288300, 240189.796803, 241762.142652
inst_nnodes1000_seed4149311_tl120_id2, 237479.305606, 236021.893600, 236053.859335, 238504.362682
inst_nnodes1000_seed4149311_tl120_id3, 241938.521453, 241065.797742, 240133.211074, 242525.450286
inst_nnodes1000_seed4149311_tl120_id4, 237081.651327, 236696.609633, 236668.851281, 238777.886265
inst_nnodes1000_seed4149311_tl120_id5, 238983.062101, 238837.181670, 238151.763756, 241847.140830
inst_nnodes1000_seed4149311_tl120_id6, 246895.043535, 242103.473391, 241862.642707, 245217.596239
inst_nnodes1000_seed4149311_tl120_id7, 239531.059072, 239717.061186, 238925.555639, 241147.454259
inst_nnodes1000_seed4149311_tl120_id8, 240396.479988, 239928.653644, 240939.518136, 242463.868872
inst_nnodes1000_seed4149311_tl120_id9, 245744.515725, 246986.949109, 245959.408187, 248321.949641
inst_nnodes1000_seed4149311_tl120_id10, 241590.970971, 239085.937128, 238739.776411, 241768.960052
inst_nnodes1000_seed4149311_tl120_id11, 239572.319414, 238776.576848, 239374.635284, 241337.555852
inst_nnodes1000_seed4149311_tl120_id12, 240299.693004, 240523.823630, 240679.642756, 242149.521953
inst_nnodes1000_seed4149311_tl120_id13, 242510.053205, 237044.014085, 236787.741708, 240443.776135
inst_nnodes1000_seed4149311_tl120_id14, 241670.991820, 241566.930122, 240849.387407, 242476.358613
inst_nnodes1000_seed4149311_tl120_id15, 235719.067748, 235659.328884, 234712.597204, 236919.518642
inst_nnodes1000_seed4149311_tl120_id16, 241823.794725, 241116.683065, 239813.882233, 242638.762447
inst_nnodes1000_seed4149311_tl120_id17, 235946.625158, 235299.904979, 234458.153642, 238606.437322
inst_nnodes1000_seed4149311_tl120_id18, 240471.273818, 238202.234591, 237571.090352, 239823.257583
inst_nnodes1000_seed4149311_tl120_id19, 237012.177414, 236105.052082, 236889.795626, 240315.824757
inst_nnodes1000_seed4149311_tl120_id20, 241453.896650, 241025.057094, 240478.733466, 242880.893225
