4, local_branching_20, local_branching_30, local_branching_40, local_branching_50
inst_nnodes1000_seed4149311_tl120_id1, 236252.726705, 236508.386431, 237409.796421, 240228.462177
inst_nnodes1000_seed4149311_tl120_id2, 239339.219964, 240411.253992, 240946.390207, 244827.264949
inst_nnodes1000_seed4149311_tl120_id3, 235272.353916, 234911.236007, 236851.871055, 237819.991609
inst_nnodes1000_seed4149311_tl120_id4, 235007.817765, 235502.567864, 237626.490041, 239671.937301
inst_nnodes1000_seed4149311_tl120_id5, 241418.108679, 241192.333254, 241118.175396, 243149.803876
inst_nnodes1000_seed4149311_tl120_id6, 241676.194533, 242985.514816, 246543.226352, 245714.040797
inst_nnodes1000_seed4149311_tl120_id7, 240017.947841, 240909.900359, 242948.055558, 242749.207370
inst_nnodes1000_seed4149311_tl120_id8, 237269.310444, 236997.246448, 237770.769854, 241323.231290
inst_nnodes1000_seed4149311_tl120_id9, 237111.523533, 239681.932995, 238755.995504, 238063.204892
inst_nnodes1000_seed4149311_tl120_id10, 236383.965058, 237984.251893, 239247.890992, 238749.213491
inst_nnodes1000_seed4149311_tl120_id11, 238674.894997, 240528.080443, 243514.646201, 243514.646201
inst_nnodes1000_seed4149311_tl120_id12, 239306.737702, 240195.138075, 239298.649473, 244349.525881
inst_nnodes1000_seed4149311_tl120_id13, 236455.710197, 241249.886262, 243479.427022, 245092.090673
inst_nnodes1000_seed4149311_tl120_id14, 234723.452693, 233498.432466, 233762.564810, 235097.157366
inst_nnodes1000_seed4149311_tl120_id15, 233480.540346, 232656.965274, 233368.393352, 233331.050746
inst_nnodes1000_seed4149311_tl120_id16, 234212.199546, 233420.335258, 233940.440115, 233186.781602
inst_nnodes1000_seed4149311_tl120_id17, 234842.783656, 240322.134537, 236429.046228, 240322.134537
inst_nnodes1000_seed4149311_tl120_id18, 238506.284493, 239562.800711, 238984.351451, 239413.061128
inst_nnodes1000_seed4149311_tl120_id19, 238831.485189, 242313.833406, 241534.972217, 245612.710950
inst_nnodes1000_seed4149311_tl120_id20, 237224.631873, 238887.570605, 238384.128758, 238824.234707
