2, hard_fixing_80, local_branching_20
inst_nnodes1000_seed4149311_tl120_id1, 237264.490602, 236192.888410
inst_nnodes1000_seed4149311_tl120_id2, 239128.829503, 236716.026111
inst_nnodes1000_seed4149311_tl120_id3, 237353.999776, 236311.922839
inst_nnodes1000_seed4149311_tl120_id4, 238368.375547, 238363.762894
inst_nnodes1000_seed4149311_tl120_id5, 240504.388248, 238865.912162
inst_nnodes1000_seed4149311_tl120_id6, 236432.802871, 238293.071203
inst_nnodes1000_seed4149311_tl120_id7, 235854.186971, 233440.908489
inst_nnodes1000_seed4149311_tl120_id8, 235883.345439, 236225.756796
inst_nnodes1000_seed4149311_tl120_id9, 237179.219387, 238807.756250
inst_nnodes1000_seed4149311_tl120_id10, 233680.174128, 234204.145980
inst_nnodes1000_seed4149311_tl120_id11, 236104.440297, 235628.201286
inst_nnodes1000_seed4149311_tl120_id12, 237296.434504, 239789.984446
inst_nnodes1000_seed4149311_tl120_id13, 234967.702013, 232837.458292
inst_nnodes1000_seed4149311_tl120_id14, 235068.874586, 234968.555346
inst_nnodes1000_seed4149311_tl120_id15, 238382.811984, 237167.402108
inst_nnodes1000_seed4149311_tl120_id16, 236910.353318, 239095.942897
inst_nnodes1000_seed4149311_tl120_id17, 234449.129737, 235516.432110
inst_nnodes1000_seed4149311_tl120_id18, 237519.113953, 238152.823683
inst_nnodes1000_seed4149311_tl120_id19, 235998.762692, 235736.056140
inst_nnodes1000_seed4149311_tl120_id20, 235425.654259, 237715.457379
