7, nnrn, nnrn_2opt, nnrn_tabu, nnrn_triang_tabu, nnrn_square_tabu, nnrn_sawtoo_tabu, nnrn_vns
inst_nnodes1000_seed4149311_tl120_id1, 291334.323645, 245211.971075, 243844.824129, 242399.042458, 241963.154746, 244737.161508, 244091.495343
inst_nnodes1000_seed4149311_tl120_id2, 293102.340621, 245569.566908, 244094.385823, 244857.375636, 244788.046411, 242378.800653, 244219.907980
inst_nnodes1000_seed4149311_tl120_id3, 287974.856684, 239673.109570, 241281.764937, 240422.488618, 238600.395546, 240746.119432, 237735.568456
inst_nnodes1000_seed4149311_tl120_id4, 289171.762365, 248860.314607, 248167.056721, 245908.972321, 248679.661722, 248480.404164, 247938.675209
inst_nnodes1000_seed4149311_tl120_id5, 294482.269392, 245333.261773, 243336.702300, 243944.090446, 244545.028434, 242865.610198, 246078.571438
inst_nnodes1000_seed4149311_tl120_id6, 276178.720239, 241168.431617, 240419.999888, 239415.379708, 241282.903973, 241646.569056, 241031.942950
inst_nnodes1000_seed4149311_tl120_id7, 273833.719295, 240979.882431, 236810.416809, 239319.396561, 239732.996087, 239213.946471, 239277.525852
inst_nnodes1000_seed4149311_tl120_id8, 285441.481604, 241361.845200, 240526.715821, 239608.954410, 241437.619066, 238975.888750, 242638.166978
inst_nnodes1000_seed4149311_tl120_id9, 287971.144693, 243236.463672, 241092.047250, 242315.936697, 242639.744899, 241720.847407, 242472.282368
inst_nnodes1000_seed4149311_tl120_id10, 294145.758435, 247752.439188, 243605.216856, 244899.733594, 244258.474915, 242787.703724, 243205.467607
inst_nnodes1000_seed4149311_tl120_id11, 296260.174196, 244422.776403, 241489.673747, 241410.450515, 240800.049950, 241548.761516, 242447.482990
inst_nnodes1000_seed4149311_tl120_id12, 292281.898478, 243013.369399, 244290.667487, 242407.604981, 242493.221692, 242694.468368, 241356.076195
inst_nnodes1000_seed4149311_tl120_id13, 291447.793755, 242763.627355, 243019.006890, 242181.065451, 241847.371456, 243225.563157, 241130.802483
inst_nnodes1000_seed4149311_tl120_id14, 292737.944107, 240421.056745, 238012.280227, 239816.617266, 237617.121939, 237071.266556, 239639.950322
inst_nnodes1000_seed4149311_tl120_id15, 278345.952992, 237282.265879, 238479.954966, 239310.923349, 239535.719730, 238290.050421, 235140.494818
inst_nnodes1000_seed4149311_tl120_id16, 287874.690046, 246230.231893, 244197.342603, 241897.173524, 242439.101098, 242125.897774, 243353.333436
inst_nnodes1000_seed4149311_tl120_id17, 289450.170384, 241831.383299, 244137.600622, 241917.397834, 242866.079923, 243866.540797, 244987.917599
inst_nnodes1000_seed4149311_tl120_id18, 278057.591393, 243208.364491, 241690.044197, 240332.447763, 241168.299783, 238788.350319, 239455.359939
inst_nnodes1000_seed4149311_tl120_id19, 282141.847381, 241443.741784, 239738.841751, 242825.659932, 240395.621474, 240477.864076, 240031.532633
inst_nnodes1000_seed4149311_tl120_id20, 287720.125616, 245834.351626, 244092.661154, 242308.247541, 242647.561277, 242318.956227, 244248.999506
