7, rndm, rndm_2opt, rndm_tabu, rndm_triang_tabu, rndm_square_tabu, rndm_sawtoo_tabu, rndm_vns
inst_nnodes1000_seed4149311_tl120_id1, 5325143.845606, 258815.525246, 246014.497008, 250540.057085, 252483.423922, 249179.297633, 243857.321200
inst_nnodes1000_seed4149311_tl120_id2, 5156503.201985, 255326.907879, 248971.500427, 253223.233911, 248181.784753, 256013.034753, 247839.408721
inst_nnodes1000_seed4149311_tl120_id3, 5287938.854627, 258711.540225, 252580.927089, 254637.747239, 253081.013220, 254154.518926, 248633.038858
inst_nnodes1000_seed4149311_tl120_id4, 5305235.229924, 258493.657920, 251925.883031, 249483.172181, 252225.461851, 253541.704581, 248685.651346
inst_nnodes1000_seed4149311_tl120_id5, 5412413.272108, 259553.441960, 254636.913881, 253162.197834, 252157.399485, 254885.968086, 247643.565482
inst_nnodes1000_seed4149311_tl120_id6, 5134038.753628, 256437.889449, 248692.257211, 250892.213225, 251457.951132, 253139.450610, 243098.323347
inst_nnodes1000_seed4149311_tl120_id7, 5206972.984952, 250799.008470, 248269.060925, 244451.170040, 251404.780259, 246656.894149, 242725.768074
inst_nnodes1000_seed4149311_tl120_id8, 5295420.110450, 256573.248379, 252178.752120, 252224.563855, 253516.353865, 252880.984211, 249998.705882
inst_nnodes1000_seed4149311_tl120_id9, 5189851.197723, 257539.775717, 251162.940735, 252219.782324, 253739.038223, 251732.281882, 246722.204862
inst_nnodes1000_seed4149311_tl120_id10, 5190666.598038, 258277.416431, 253606.868463, 249505.403783, 250940.683787, 251572.609596, 247709.910048
inst_nnodes1000_seed4149311_tl120_id11, 5131259.548354, 257306.492298, 252934.919885, 246877.385220, 249398.999699, 248442.450510, 243545.669726
inst_nnodes1000_seed4149311_tl120_id12, 5343699.842608, 251811.844841, 252462.062020, 246176.057161, 248399.449695, 245062.295159, 244856.702357
inst_nnodes1000_seed4149311_tl120_id13, 5058458.320827, 259573.349378, 251314.394927, 250530.331004, 249947.927312, 251154.913332, 244438.139306
inst_nnodes1000_seed4149311_tl120_id14, 5274547.477055, 254166.857051, 252061.160937, 248186.803164, 247213.964035, 246642.599318, 244457.617304
inst_nnodes1000_seed4149311_tl120_id15, 5285533.334023, 261688.426100, 254055.529397, 250579.119776, 251932.082600, 252029.271727, 244738.399760
inst_nnodes1000_seed4149311_tl120_id16, 5090924.987353, 257182.486145, 248186.096915, 253398.824380, 253321.938566, 253473.108255, 246851.861318
inst_nnodes1000_seed4149311_tl120_id17, 5339269.788257, 255434.241660, 247342.310682, 252070.143789, 251641.250831, 251090.388006, 249020.888201
inst_nnodes1000_seed4149311_tl120_id18, 5265092.886683, 253957.174236, 252986.138210, 249831.288205, 248725.202770, 248665.646046, 243103.491970
inst_nnodes1000_seed4149311_tl120_id19, 5159130.264690, 258507.328106, 254091.026173, 249751.939081, 248544.253882, 252242.347088, 247676.752209
inst_nnodes1000_seed4149311_tl120_id20, 5234235.008370, 257667.074314, 252352.015871, 257082.243580, 252557.924419, 253752.656253, 247931.081490
